,Unnamed: 0,Date,close,volumefrom,volumeto,OBV,Volatility_7Day,30day_volatility-xlm
29,29,2017-03-02,0.001702,3190055.67,5694.47,-33325732.82,35.86,0.0002629012313992927
30,30,2017-03-03,0.00175,1283975.89,2278.63,-32041756.93,36.96,0.0002730116182109491
31,31,2017-03-06,0.001967,3996673.69,7715.75,-26609369.37,24.23,0.0002281143819761655
32,32,2017-03-07,0.0018,5355010.33,10720.2,-31964379.7,38.33,0.00022322626271972624
33,33,2017-03-08,0.002014,5480745.01,9674.75,-26483634.69,46.27,0.00022250121787087626
34,34,2017-03-09,0.001402,9043039.07,15304.4,-35526673.76,114.78,0.00025462135286211465
35,35,2017-03-10,0.001661,3965651.22,6867.76,-31561022.54,127.86,0.0002641694336125446
36,36,2017-03-12,0.001849,9901407.53,19286.71,-16408680.58,127.03,0.000265694111563543
37,37,2017-03-15,0.001691,7467538.14,13911.65,-21883955.22,67.1,0.00027095867479797744
38,38,2017-03-16,0.001768,6805210.31,12513.52,-15078744.91,51.29,0.00026469040905117514
39,39,2017-03-17,0.001983,11368386.27,21331.36,-3710358.64,57.5,0.00026312149416126275
40,40,2017-03-19,0.001999,2486896.72,4732.45,-9222863.78,86.44,0.00025971099985999083
41,41,2017-03-20,0.0021,8531655.16,17448.55,-691208.62,85.79,0.0002541579945760055
42,42,2017-03-22,0.0022,11105175.24,22547.69,2227483.43,90.47,0.00025076224257023
43,43,2017-03-23,0.00195,36137520.62,80511.23,-33910037.19,94.83,0.0002346885071798343
44,44,2017-03-24,0.002,13661901.46,27441.55,-20248135.73,81.41,0.0002234199205969345
45,45,2017-03-25,0.001991,10212237.93,20671.03,-30460373.66,68.88,0.00021487116963480736
46,46,2017-03-26,0.00187,25387951.07,49005.9,-55848324.73,68.41,0.00020931637221718036
47,47,2017-03-27,0.002095,13180667.37,25682.12,-42667657.36,69.01,0.00019853007242020713
48,48,2017-03-28,0.001917,10728497.13,21410.71,-53396154.49,56.53,0.00019286080979302993
49,49,2017-03-29,0.0023,33985238.85,74485.64,-19410915.64,68.52,0.00020030868132982213
50,50,2017-03-30,0.002282,40073986.58,100535.66,-59484902.22,69.19,0.00021116878905573294
51,51,2017-03-31,0.00285,18803083.9,46777.65,-40681818.32,86.41,0.00026733736059110096
52,52,2017-04-01,0.004405,76502782.75,274219.75,35820964.43,121.79,0.0005182891439935912
53,53,2017-04-02,0.003036,66274878.28,262849.71,-30453913.85,185.44,0.0005503431113677042
54,54,2017-04-03,0.003011,25479729.57,79171.51,-55933643.42,180.97,0.0005754269379508926
55,55,2017-04-04,0.003082,52057466.08,167338.26,-3876177.34,177.84,0.0006009515299750141
56,56,2017-04-06,0.002719,36822292.0,103600.78,-79098299.21,171.19,0.0006082419172377529
57,57,2017-04-07,0.003064,32535322.59,96098.05,-46562976.62,110.42,0.0006243615626538362
58,58,2017-04-08,0.002769,35839237.02,103521.59,-82402213.64,53.2,0.0006260034344953708
59,59,2017-04-09,0.002858,11555599.97,32264.4,-70846613.67,54.72,0.0006272650918091161
60,60,2017-04-10,0.0028,8126560.75,22828.29,-78973174.42,53.76,0.0006259977791815477
