,Date,close,volumefrom,volumeto,OBV,VOLALITY7day
0,2015-01-22,0.016,0.0,0.0,0.0,37.42
1,2015-01-23,0.01739,0.0,0.0,0.0,35.31
2,2015-01-24,0.017,0.0,0.0,0.0,37.54
3,2015-01-25,0.01469,0.0,0.0,0.0,69.55
4,2015-01-26,0.0155,0.0,0.0,0.0,60.23
5,2015-01-27,0.015,0.0,0.0,0.0,52.75
6,2015-01-28,0.0135,0.0,0.0,0.0,58.24
7,2015-01-29,0.015,1016.47,16.76,1016.47,62.09
8,2015-01-30,0.01499,1217.22,17.63,-200.75,62.43
9,2015-02-02,0.0148,0.0,0.0,-301.48,62.59
10,2015-02-04,0.01573,0.0,0.0,-301.48,58.36
11,2015-02-05,0.0155,339.16,5.239,-640.64,58.67
12,2015-02-06,0.01468,216.69,3.259,-857.33,51.87
13,2015-02-08,0.0135,0.0,0.0,-857.33,44.07
14,2015-02-09,0.01464,0.0,0.0,-857.33,48.35
15,2015-02-10,0.01462,0.0,0.0,-857.33,33.31
16,2015-02-11,0.0143,0.0,0.0,-857.33,33.42
17,2015-02-12,0.01445,0.0,0.0,-857.33,30.99
18,2015-02-13,0.012,0.0,0.0,-857.33,58.81
19,2015-02-14,0.012,0.0,0.0,-857.33,58.5
20,2015-02-17,0.01499,0.0,0.0,-857.33,105.6
21,2015-02-18,0.013069999999999998,0.0,0.0,-857.33,112.52
22,2015-02-19,0.013069999999999998,0.2934,0.007334,-857.33,98.5
23,2015-02-20,0.013069999999999998,1.088,0.02721,-857.33,98.5
24,2015-02-21,0.013069999999999998,0.0,0.0,-857.33,70.53
25,2015-02-22,0.01403,0.0,0.0,-857.33,61.08
26,2015-02-26,0.01206,0.0,0.0,-897.33,40.32
27,2015-02-27,0.01178,0.0,0.0,-897.33,40.14
28,2015-03-01,0.006611,0.0,0.0,-897.46,129.99
29,2015-03-02,0.008505,56018.06,503.22,55120.6,161.06
30,2015-03-03,0.012,367.48,3.498,55488.08,198.16
31,2015-03-04,0.012,4579.24,51.95,55488.08,197.15
32,2015-03-05,0.0104,5.182,0.057,55482.9,200.94
33,2015-03-06,0.0103,0.0,0.0,55482.9,200.37
34,2015-03-07,0.009777,0.0,0.0,55482.9,124.98
35,2015-03-08,0.009806,0.0,0.0,55482.9,109.68
36,2015-03-09,0.009536,0.0,0.0,55482.9,36.43
37,2015-03-10,0.0077,180.18,2.0,55302.72,56.7
38,2015-03-11,0.01082,0.0,0.0,55302.72,119.67
39,2015-03-13,0.01112,11179.82,122.98,66482.36,118.28
40,2015-03-14,0.0106,0.0,0.0,66482.36,119.76
41,2015-03-15,0.01054,0.0,0.0,66482.36,119.25
42,2015-03-16,0.01053,1.0859999999999999,0.003867,66481.27,94.72
43,2015-03-17,0.01024,0.0,0.0,66481.27,18.91
44,2015-03-18,0.01093,0.0,0.0,66481.27,27.5
45,2015-03-20,0.01011,0.0,0.0,66481.27,142.3
46,2015-03-21,0.01004,0.0,0.0,66481.27,142.3
47,2015-03-22,0.009728,0.0,0.0,66481.27,142.41
48,2015-03-23,0.009942,0.0,0.0,66481.27,142.59
49,2015-03-24,0.0092,0.0,0.0,66481.27,141.66
50,2015-03-25,0.0085,0.0,0.0,66481.27,92.87
51,2015-03-26,0.00875,0.0,0.0,66481.27,31.14
52,2015-03-27,0.00895,0.0,0.0,66481.27,33.48
53,2015-03-28,0.00835,0.1768,0.0020329999999999997,66481.09,36.14
54,2015-03-29,0.008199,0.0,0.0,66481.09,33.07
55,2015-03-31,0.0079,0.03453,0.000397,66480.99,28.56
56,2015-04-01,0.00785,0.0,0.0,66480.99,25.55
57,2015-04-02,0.008925,0.0,0.0,66480.99,47.02
58,2015-04-04,0.008839,0.0,0.0,66481.3,46.68
59,2015-04-05,0.008783,0.0,0.0,66481.3,41.72
60,2015-04-06,0.0091,0.0,0.0,66481.3,41.9
61,2015-04-08,0.009195,26.04,0.2619,66512.09,24.58
62,2015-04-10,0.008,0.0,0.0,66512.09,40.26
63,2015-04-11,0.008,0.0,0.0,66512.09,40.44
64,2015-04-12,0.008270999999999999,0.0,0.0,66512.09,40.21
65,2015-04-13,0.008270999999999999,0.0,0.0,66512.09,39.81
