Date,close,VOLALITY7day
2015-01-22,0.016,37.42
2015-01-23,0.01739,35.31
2015-01-24,0.017,37.54
2015-01-25,0.01469,69.55
2015-01-26,0.0155,60.23
2015-01-27,0.015,52.75
2015-01-28,0.0135,58.24
2015-01-29,0.015,62.09
2015-01-30,0.01499,62.43
2015-01-31,0.013519999999999999,55.67
2015-02-01,0.013269999999999999,51.28
2015-02-02,0.0148,62.59
2015-02-03,0.013999999999999999,56.61
2015-02-04,0.01573,58.36
2015-02-05,0.0155,58.67
2015-02-06,0.01468,51.87
2015-02-07,0.014280000000000001,52.41
2015-02-08,0.0135,44.07
2015-02-09,0.01464,48.35
2015-02-10,0.01462,33.31
2015-02-11,0.0143,33.42
2015-02-12,0.01445,30.99
2015-02-13,0.012,58.81
2015-02-14,0.012,58.5
2015-02-15,0.015080000000000001,87.04
2015-02-16,0.013009999999999999,96.36
2015-02-17,0.01499,105.6
2015-02-18,0.013069999999999998,112.52
2015-02-19,0.013069999999999998,98.5
2015-02-20,0.013069999999999998,98.5
2015-02-21,0.013069999999999998,70.53
2015-02-22,0.01403,61.08
2015-02-23,0.013430000000000001,45.39
2015-02-24,0.013999999999999999,26.16
2015-02-25,0.013000000000000001,35.07
2015-02-26,0.01206,40.32
2015-02-27,0.01178,40.14
2015-02-28,0.011009999999999999,29.62
2015-03-01,0.006611,129.99
2015-03-02,0.008505,161.06
2015-03-03,0.012,198.16
2015-03-04,0.012,197.15
2015-03-05,0.0104,200.94
2015-03-06,0.0103,200.37
2015-03-07,0.009777,124.98
2015-03-08,0.009806,109.68
2015-03-09,0.009536,36.43
2015-03-10,0.0077,56.7
2015-03-11,0.01082,119.67
2015-03-12,0.010709999999999999,119.68
2015-03-13,0.01112,118.28
2015-03-14,0.0106,119.76
2015-03-15,0.01054,119.25
2015-03-16,0.01053,94.72
2015-03-17,0.01024,18.91
2015-03-18,0.01093,27.5
2015-03-19,0.007515000000000001,103.01
2015-03-20,0.01011,142.3
2015-03-21,0.01004,142.3
2015-03-22,0.009728,142.41
2015-03-23,0.009942,142.59
2015-03-24,0.0092,141.66
2015-03-25,0.0085,92.87
2015-03-26,0.00875,31.14
2015-03-27,0.00895,33.48
2015-03-28,0.00835,36.14
2015-03-29,0.008199,33.07
2015-03-30,0.007737999999999999,31.09
2015-03-31,0.0079,28.56
2015-04-01,0.00785,25.55
2015-04-02,0.008925,47.02
2015-04-03,0.009368000000000001,42.48
2015-04-04,0.008839,46.68
2015-04-05,0.008783,41.72
2015-04-06,0.0091,41.9
2015-04-07,0.009179999999999999,41.15
2015-04-08,0.009195,24.58
2015-04-09,0.009179999999999999,20.19
2015-04-10,0.008,40.26
2015-04-11,0.008,40.44
2015-04-12,0.008270999999999999,40.21
2015-04-13,0.008270999999999999,39.81
2015-04-14,0.008270999999999999,39.74
2015-04-15,0.008270999999999999,39.8
2015-04-16,0.008270999999999999,8.965
2015-04-17,0.008270999999999999,8.965
2015-04-18,0.008270999999999999,0.0
2015-04-19,0.003565,226.48
2015-04-20,0.003565,226.48
2015-04-21,0.004,234.65
2015-04-22,0.008274,329.57
2015-04-23,0.008020000000000001,329.67
2015-04-24,0.008020999999999999,329.67
2015-04-25,0.007781000000000001,195.96
2015-04-26,0.008055,194.18
2015-04-27,0.007698999999999999,200.36
2015-04-28,0.007634999999999999,18.94
2015-04-29,0.0085,36.33
2015-04-30,0.008499,36.34
2015-05-01,0.008440999999999999,34.59
2015-05-02,0.007803,41.36
2015-05-03,0.008165,40.95
2015-05-04,0.0078,43.54
2015-05-05,0.00772,27.86
